ID,Sex,Treatment,Day ,ES
LD553,Female,Control,1,0
LD238,Female,Control,1,0
LD578,Female,Control,1,0
690,Female,Control,1,0
LD243,Female,Control,1,0
Blue-004,Female,Control,1,0
608,Male,Control,1,0
624,Male,Control,1,0
MK114,Male,Control,1,0
630,Male,Control,1,0
LD19-211,Male,Control,1,0
LD18-202,Male,Control,1,0
1217,Female,MG,1,0
SEM 1978,Female,MG,1,0
LD586,Female,MG,1,0
LD541,Female,MG,1,0
LD584,Female,MG,1,0
LD245,Female,MG,1,0
LD19-208,Male,MG,1,0
Blue-014,Male,MG,1,0
Blue-096,Male,MG,1,0
LD18-221,Male,MG,1,0
Blue-048,Male,MG,1,0
609,Male,MG,1,0
616,Male,MG,1,0
LD553,Female,Control,3,0
LD238,Female,Control,3,0
LD578,Female,Control,3,0
690,Female,Control,3,0
LD243,Female,Control,3,0
Blue-004,Female,Control,3,0
608,Male,Control,3,0
624,Male,Control,3,0
MK114,Male,Control,3,0
630,Male,Control,3,0
LD19-211,Male,Control,3,0
LD18-202,Male,Control,3,0
1217,Female,MG,3,1
SEM 1978,Female,MG,3,0
LD586,Female,MG,3,0
LD541,Female,MG,3,0
LD584,Female,MG,3,0
LD245,Female,MG,3,0
LD19-208,Male,MG,3,0
Blue-014,Male,MG,3,0
Blue-096,Male,MG,3,1
LD18-221,Male,MG,3,0
Blue-048,Male,MG,3,6
609,Male,MG,3,4.5
616,Male,MG,3,5.5
LD553,Female,Control,5,0
LD238,Female,Control,5,0
LD578,Female,Control,5,0
690,Female,Control,5,0
LD243,Female,Control,5,0
Blue-004,Female,Control,5,0
608,Male,Control,5,0
624,Male,Control,5,0
MK114,Male,Control,5,0
630,Male,Control,5,0
LD19-211,Male,Control,5,0
LD18-202,Male,Control,5,0
1217,Female,MG,5,4
SEM 1978,Female,MG,5,0
LD586,Female,MG,5,0
LD541,Female,MG,5,0
LD584,Female,MG,5,2.5
LD245,Female,MG,5,2.5
LD19-208,Male,MG,5,3.5
Blue-014,Male,MG,5,3
Blue-096,Male,MG,5,6
LD18-221,Male,MG,5,0
Blue-048,Male,MG,5,6
609,Male,MG,5,6
616,Male,MG,5,6
LD553,Female,Control,7,0
LD238,Female,Control,7,0
LD578,Female,Control,7,0
690,Female,Control,7,0
LD243,Female,Control,7,0
Blue-004,Female,Control,7,0
608,Male,Control,7,0
624,Male,Control,7,0
MK114,Male,Control,7,0
630,Male,Control,7,0
LD19-211,Male,Control,7,0
LD18-202,Male,Control,7,0
1217,Female,MG,7,6
SEM 1978,Female,MG,7,
LD586,Female,MG,7,0
LD541,Female,MG,7,1
LD584,Female,MG,7,2
LD245,Female,MG,7,4.5
LD19-208,Male,MG,7,5
Blue-014,Male,MG,7,
Blue-096,Male,MG,7,2
LD18-221,Male,MG,7,
Blue-048,Male,MG,7,6
609,Male,MG,7,6
616,Male,MG,7,6
LD553,Female,Control,10,0
LD238,Female,Control,10,0
LD578,Female,Control,10,0
690,Female,Control,10,0
LD243,Female,Control,10,0
Blue-004,Female,Control,10,0
608,Male,Control,10,0
624,Male,Control,10,0
MK114,Male,Control,10,0
630,Male,Control,10,0
LD19-211,Male,Control,10,0
LD18-202,Male,Control,10,0
1217,Female,MG,10,0
SEM 1978,Female,MG,10,
LD586,Female,MG,10,0
LD541,Female,MG,10,0
LD584,Female,MG,10,0
LD245,Female,MG,10,2.5
LD19-208,Male,MG,10,0
Blue-014,Male,MG,10,
Blue-096,Male,MG,10,
LD18-221,Male,MG,10,
Blue-048,Male,MG,10,6
609,Male,MG,10,5.5
616,Male,MG,10,5
LD553,Female,Control,14,0
LD238,Female,Control,14,0
LD578,Female,Control,14,0
690,Female,Control,14,0
LD243,Female,Control,14,0
Blue-004,Female,Control,14,0
608,Male,Control,14,0
624,Male,Control,14,0
MK114,Male,Control,14,0
630,Male,Control,14,0
LD19-211,Male,Control,14,0
LD18-202,Male,Control,14,0
1217,Female,MG,14,0
SEM 1978,Female,MG,14,
LD586,Female,MG,14,0
LD541,Female,MG,14,0
LD584,Female,MG,14,0
LD245,Female,MG,14,0
LD19-208,Male,MG,14,0
Blue-014,Male,MG,14,
Blue-096,Male,MG,14,
LD18-221,Male,MG,14,
Blue-048,Male,MG,14,6
609,Male,MG,14,3
616,Male,MG,14,3.5
LD553,Female,Control,16,0
LD238,Female,Control,16,0
LD578,Female,Control,16,0
690,Female,Control,16,0
LD243,Female,Control,16,0
Blue-004,Female,Control,16,0
608,Male,Control,16,0
624,Male,Control,16,0
MK114,Male,Control,16,0
630,Male,Control,16,0
LD19-211,Male,Control,16,0
LD18-202,Male,Control,16,0
1217,Female,MG,16,0
SEM 1978,Female,MG,16,
LD586,Female,MG,16,0
LD541,Female,MG,16,0
LD584,Female,MG,16,0
LD245,Female,MG,16,0
LD19-208,Male,MG,16,0
Blue-014,Male,MG,16,
Blue-096,Male,MG,16,
LD18-221,Male,MG,16,
Blue-048,Male,MG,16,6
609,Male,MG,16,0
616,Male,MG,16,0
LD553,Female,Control,18,0
LD238,Female,Control,18,0
LD578,Female,Control,18,0
690,Female,Control,18,0
LD243,Female,Control,18,0
Blue-004,Female,Control,18,0
608,Male,Control,18,0
624,Male,Control,18,0
MK114,Male,Control,18,0
630,Male,Control,18,0
LD19-211,Male,Control,18,0
LD18-202,Male,Control,18,0
1217,Female,MG,18,0
SEM 1978,Female,MG,18,
LD586,Female,MG,18,0
LD541,Female,MG,18,0
LD584,Female,MG,18,0
LD245,Female,MG,18,0
LD19-208,Male,MG,18,0
Blue-014,Male,MG,18,
Blue-096,Male,MG,18,
LD18-221,Male,MG,18,
Blue-048,Male,MG,18,6
609,Male,MG,18,0
616,Male,MG,18,0
LD553,Female,Control,21,0
LD238,Female,Control,21,0
LD578,Female,Control,21,0
690,Female,Control,21,0
LD243,Female,Control,21,0
Blue-004,Female,Control,21,0
608,Male,Control,21,0
624,Male,Control,21,0
MK114,Male,Control,21,0
630,Male,Control,21,0
LD19-211,Male,Control,21,0
LD18-202,Male,Control,21,0
1217,Female,MG,21,0
SEM 1978,Female,MG,21,
LD586,Female,MG,21,0
LD541,Female,MG,21,0
LD584,Female,MG,21,0
LD245,Female,MG,21,0
LD19-208,Male,MG,21,0
Blue-014,Male,MG,21,
Blue-096,Male,MG,21,
LD18-221,Male,MG,21,
Blue-048,Male,MG,21,6
609,Male,MG,21,1
616,Male,MG,21,0
LD553,Female,Control,23,0
LD238,Female,Control,23,0
LD578,Female,Control,23,0
690,Female,Control,23,0
LD243,Female,Control,23,0
Blue-004,Female,Control,23,0
608,Male,Control,23,0
624,Male,Control,23,0
MK114,Male,Control,23,0
630,Male,Control,23,0
LD19-211,Male,Control,23,0
LD18-202,Male,Control,23,0
1217,Female,MG,23,0
SEM 1978,Female,MG,23,
LD586,Female,MG,23,0
LD541,Female,MG,23,0
LD584,Female,MG,23,0
LD245,Female,MG,23,0
LD19-208,Male,MG,23,0
Blue-014,Male,MG,23,
Blue-096,Male,MG,23,
LD18-221,Male,MG,23,
Blue-048,Male,MG,23,6
609,Male,MG,23,0
616,Male,MG,23,0
LD553,Female,Control,25,0
LD238,Female,Control,25,0
LD578,Female,Control,25,0
690,Female,Control,25,0
LD243,Female,Control,25,0
Blue-004,Female,Control,25,0
608,Male,Control,25,0
624,Male,Control,25,0
MK114,Male,Control,25,0
630,Male,Control,25,0
LD19-211,Male,Control,25,0
LD18-202,Male,Control,25,0
1217,Female,MG,25,0
SEM 1978,Female,MG,25,
LD586,Female,MG,25,0
LD541,Female,MG,25,0
LD584,Female,MG,25,0
LD245,Female,MG,25,0
LD19-208,Male,MG,25,0
Blue-014,Male,MG,25,
Blue-096,Male,MG,25,
LD18-221,Male,MG,25,
Blue-048,Male,MG,25,6
609,Male,MG,25,0
616,Male,MG,25,0
LD553,Female,Control,28,0
LD238,Female,Control,28,0
LD578,Female,Control,28,0
690,Female,Control,28,0
LD243,Female,Control,28,0
Blue-004,Female,Control,28,0
608,Male,Control,28,0
624,Male,Control,28,0
MK114,Male,Control,28,0
630,Male,Control,28,0
LD19-211,Male,Control,28,0
LD18-202,Male,Control,28,0
1217,Female,MG,28,0
SEM 1978,Female,MG,28,
LD586,Female,MG,28,0
LD541,Female,MG,28,0
LD584,Female,MG,28,0
LD245,Female,MG,28,0
LD19-208,Male,MG,28,0
Blue-014,Male,MG,28,
Blue-096,Male,MG,28,
LD18-221,Male,MG,28,
Blue-048,Male,MG,28,6
609,Male,MG,28,0
616,Male,MG,28,0
LD553,Female,Control,30,0
LD238,Female,Control,30,0
LD578,Female,Control,30,0
690,Female,Control,30,0
LD243,Female,Control,30,0
Blue-004,Female,Control,30,0
608,Male,Control,30,0
624,Male,Control,30,0
MK114,Male,Control,30,0
630,Male,Control,30,0
LD19-211,Male,Control,30,0
LD18-202,Male,Control,30,0
1217,Female,MG,30,0
SEM 1978,Female,MG,30,
LD586,Female,MG,30,0
LD541,Female,MG,30,0
LD584,Female,MG,30,0
LD245,Female,MG,30,0
LD19-208,Male,MG,30,0
Blue-014,Male,MG,30,
Blue-096,Male,MG,30,
LD18-221,Male,MG,30,
Blue-048,Male,MG,30,6
609,Male,MG,30,0
616,Male,MG,30,0
LD553,Female,Control,32,0
LD238,Female,Control,32,0
LD578,Female,Control,32,0
690,Female,Control,32,0
LD243,Female,Control,32,0
Blue-004,Female,Control,32,0
608,Male,Control,32,0
624,Male,Control,32,0
MK114,Male,Control,32,0
630,Male,Control,32,0
LD19-211,Male,Control,32,0
LD18-202,Male,Control,32,0
1217,Female,MG,32,0
SEM 1978,Female,MG,32,
LD586,Female,MG,32,0
LD541,Female,MG,32,0
LD584,Female,MG,32,0
LD245,Female,MG,32,0
LD19-208,Male,MG,32,0
Blue-014,Male,MG,32,
Blue-096,Male,MG,32,
LD18-221,Male,MG,32,
Blue-048,Male,MG,32,6
609,Male,MG,32,0
616,Male,MG,32,0
LD553,Female,Control,35,0
LD238,Female,Control,35,0
LD578,Female,Control,35,0
690,Female,Control,35,0
LD243,Female,Control,35,0
Blue-004,Female,Control,35,0
608,Male,Control,35,0
624,Male,Control,35,0
MK114,Male,Control,35,0
630,Male,Control,35,0
LD19-211,Male,Control,35,0
LD18-202,Male,Control,35,0
1217,Female,MG,35,0
SEM 1978,Female,MG,35,
LD586,Female,MG,35,0
LD541,Female,MG,35,0
LD584,Female,MG,35,0
LD245,Female,MG,35,0
LD19-208,Male,MG,35,0
Blue-014,Male,MG,35,
Blue-096,Male,MG,35,
LD18-221,Male,MG,35,
Blue-048,Male,MG,35,6
609,Male,MG,35,0
616,Male,MG,35,0
