ID,Day,Treatment,Sex,antibody,,,,,,,,,,,,,,,,,
LD553,0,Control,Female,0,,,,,,,,,,,,,,,,,
LD238,0,Control,Female,0,,,,,,,,,,,,,,,,,
LD578,0,Control,Female,0.010910744,,,,,,,,,,,,,,,,,
690,0,Control,Female,0,,,,,,,,,,,,,,,,,
LD243,0,Control,Female,0.004091529,,,,,,,,,,,,,,,,,
Blue-004,0,Control,Female,0.007728444,,,,,,,,,,,,,,,,,
608,0,Control,Male,0.020457645,,,,,,,,,,,,,,,,,
624,0,Control,Male,0.002273072,,,,,,,,,,,,,,,,,
630,0,Control,Male,0,,,,,,,,,,,,,,,,,
MK114,0,Control,Male,0,,,,,,,,,,,,,,,,,
LD19-211,0,Control,Male,0.006946918,,,,,,,,,,,,,,,,,
LD18-202,0,Control,Male,0,,,,,,,,,,,,,,,,,
LD553,7,Control,Female,0,,,,,,,,,,,,,,,,,
LD238,7,Control,Female,0,,,,,,,,,,,,,,,,,
LD578,7,Control,Female,0.013183816,,,,,,,,,,,,,,,,,
690,7,Control,Female,0.000909229,,,,,,,,,,,,,,,,,
LD243,7,Control,Female,0.001818457,,,,,,,,,,,,,,,,,
Blue-004,7,Control,Female,0.009092287,,,,,,,,,,,,,,,,,
608,7,Control,Male,0.025620367,,,,,,,,,,,,,,,,,
624,7,Control,Male,0.001363843,,,,,,,,,,,,,,,,,
630,7,Control,Male,0.000454614,,,,,,,,,,,,,,,,,
MK114,7,Control,Male,0.002671892,,,,,,,,,,,,,,,,,
LD19-211,7,Control,Male,0.01923762,,,,,,,,,,,,,,,,,
LD18-202,7,Control,Male,0,,,,,,,,,,,,,,,,,
LD553,14,Control,Female,0,,,,,,,,,,,,,,,,,
LD238,14,Control,Female,0.004546143,,,,,,,,,,,,,,,,,
LD578,14,Control,Female,0.011819973,,,,,,,,,,,,,,,,,
690,14,Control,Female,0.000909229,,,,,,,,,,,,,,,,,
LD243,14,Control,Female,0.016366116,,,,,,,,,,,,,,,,,
Blue-004,14,Control,Female,0.010910744,,,,,,,,,,,,,,,,,
608,14,Control,Male,0.024549174,,,,,,,,,,,,,,,,,
624,14,Control,Male,0.002273072,,,,,,,,,,,,,,,,,
630,14,Control,Male,0.005000758,,,,,,,,,,,,,,,,,
MK114,14,Control,Male,0.001603135,,,,,,,,,,,,,,,,,
LD19-211,14,Control,Male,0.00961881,,,,,,,,,,,,,,,,,
LD18-202,14,Control,Male,0.00320627,,,,,,,,,,,,,,,,,
LD553,21,Control,Female,0,,,,,,,,,,,,,,,,,
LD238,21,Control,Female,0,,,,,,,,,,,,,,,,,
LD578,21,Control,Female,0.013183816,,,,,,,,,,,,,,,,,
690,21,Control,Female,0.002273072,,,,,,,,,,,,,,,,,
LD243,21,Control,Female,0.011365358,,,,,,,,,,,,,,,,,
Blue-004,21,Control,Female,0.011365358,,,,,,,,,,,,,,,,,
608,21,Control,Male,0.025003788,,,,,,,,,,,,,,,,,
624,21,Control,Male,0.003636915,,,,,,,,,,,,,,,,,
630,21,Control,Male,0,,,,,,,,,,,,,,,,,
MK114,21,Control,Male,0.004809405,,,,,,,,,,,,,,,,,
LD19-211,21,Control,Male,0.005878162,,,,,,,,,,,,,,,,,
LD18-202,21,Control,Male,0.001603135,,,,,,,,,,,,,,,,,
LD245,0,MG,Female,0.000960615,,,,,,,,,,,,,,,,,
LD584,0,MG,Female,0.00192123,,,,,,,,,,,,,,,,,
LD586,0,MG,Female,0.000960615,,,,,,,,,,,,,,,,,
1217,0,MG,Female,0.003362152,,,,,,,,,,,,,,,,,
LD541,0,MG,Female,0.002727686,,,,,,,,,,,,,,,,,
609,0,MG,Male,0.003842459,,,,,,,,,,,,,,,,,
LD19-208,0,MG,Male,0.000480307,,,,,,,,,,,,,,,,,
Blue-048,0,MG,Male,0.000960615,,,,,,,,,,,,,,,,,
616,0,MG,Male,0.001363843,,,,,,,,,,,,,,,,,
LD245,7,MG,Female,0.006724304,,,,,,,,,,,,,,,,,
LD584,7,MG,Female,0.021133525,,,,,,,,,,,,,,,,,
LD586,7,MG,Female,0.014409222,,,,,,,,,,,,,,,,,
1217,7,MG,Female,0.012085079,,,,,,,,,,,,,,,,,
LD541,7,MG,Female,0.025913017,,,,,,,,,,,,,,,,,
609,7,MG,Male,0.064841499,,,,,,,,,,,,,,,,,
LD19-208,7,MG,Male,0.037944284,,,,,,,,,,,,,,,,,
Blue-048,7,MG,Male,0.016330451,,,,,,,,,,,,,,,,,
616,7,MG,Male,0.016366116,,,,,,,,,,,,,,,,,
LD245,14,MG,Female,0.011527378,,,,,,,,,,,,,,,,,
LD584,14,MG,Female,0.020653218,,,,,,,,,,,,,,,,,
LD586,14,MG,Female,0.006243996,,,,,,,,,,,,,,,,,
1217,14,MG,Female,0.027377522,,,,,,,,,,,,,,,,,
LD541,14,MG,Female,0.033186846,,,,,,,,,,,,,,,,,
609,14,MG,Male,0.142170989,,,,,,,,,,,,,,,,,
LD19-208,14,MG,Male,0.016810759,,,,,,,,,,,,,,,,,
Blue-048,14,MG,Male,0.082178537,,,,,,,,,,,,,,,,,
616,14,MG,Male,0.06500985,,,,,,,,,,,,,,,,,
LD245,21,MG,Female,0.055591363,,,,,,,,,,,,,,,,,
LD584,21,MG,Female,0.010566763,,,,,,,,,,,,,,,,,
LD586,21,MG,Female,0.009125841,,,,,,,,,,,,,,,,,
1217,21,MG,Female,0.030454399,,,,,,,,,,,,,,,,,
LD541,21,MG,Female,0.035005304,,,,,,,,,,,,,,,,,
609,21,MG,Male,0.108069164,,,,,,,,,,,,,,,,,
LD19-208,21,MG,Male,0.014889529,,,,,,,,,,,,,,,,,
Blue-048,21,MG,Male,0.122784402,,,,,,,,,,,,,,,,,
616,21,MG,Male,0.06182755,,,,,,,,,,,,,,,,,
